row,red1,red2,red3,red4,red5,red6,red_sum_all,red_sum16,red_gap16,red_sum25,red_gap25,red_sum34,red_gap12,red_gap23,red_gap34,red_gap45,red_gap56
10_3,4,8,14,19,22,27,94,31,23,30,14,33,4,6,5,3,5
10_4,3,8,13,18,22,27,91,30,24,30,14,31,5,5,5,4,5
10_5,4,9,14,19,24,28,98,32,24,33,15,33,5,5,5,5,4
10_6,2,7,12,15,22,24,82,26,22,29,15,27,5,5,3,7,2
10_7,2,6,9,12,18,25,72,27,23,24,12,21,4,3,3,6,7
10_8,1,8,13,16,22,27,87,28,26,30,14,29,7,5,3,6,5
10_9,1,10,15,18,24,25,93,26,24,34,14,33,9,5,3,6,1
10_10,3,12,17,20,26,27,105,30,24,38,14,37,9,5,3,6,1
11_1,10,14,16,24,28,30,122,40,20,42,14,40,4,2,8,4,2
11_2,7,10,18,22,28,28,113,35,21,38,18,40,3,8,4,6,0
11_3,4,6,13,17,22,26,88,30,22,28,16,30,2,7,4,5,4
11_4,4,8,12,17,22,27,90,31,23,30,14,29,4,4,5,5,5
11_5,4,9,13,19,24,28,97,32,24,33,15,32,5,4,6,5,4
11_6,0,8,11,14,22,25,80,25,25,30,14,25,8,3,3,8,3
11_7,2,9,11,13,22,26,83,28,24,31,13,24,7,2,2,9,4
11_8,3,11,16,18,26,28,102,31,25,37,15,34,8,5,2,8,2
11_9,3,10,15,17,26,30,101,33,27,36,16,32,7,5,2,9,4
11_10,4,10,16,18,26,30,104,34,26,36,16,34,6,6,2,8,4
12_1,4,8,14,19,26,30,101,34,26,34,18,33,4,6,5,7,4
12_2,6,10,19,22,26,29,112,35,23,36,16,41,4,9,3,4,3
12_3,3,7,14,18,21,26,89,29,23,28,14,32,4,7,4,3,5
12_4,4,8,13,18,23,28,94,32,24,31,15,31,4,5,5,5,5
12_5,4,9,14,19,24,28,98,32,24,33,15,33,5,5,5,5,4
12_6,2,10,17,20,28,31,108,33,29,38,18,37,8,7,3,8,3
12_7,4,9,14,18,25,31,101,35,27,34,16,32,5,5,4,7,6
12_8,3,12,16,21,30,33,115,36,30,42,18,37,9,4,5,9,3
12_9,1,9,14,20,28,31,103,32,30,37,19,34,8,5,6,8,3
12_10,3,11,16,19,26,30,105,33,27,37,15,35,8,5,3,7,4
13_1,0,4,8,14,21,25,72,25,25,25,17,22,4,4,6,7,4
13_2,8,11,20,25,28,30,122,38,22,39,17,45,3,9,5,3,2
13_3,4,6,13,18,22,26,89,30,22,28,16,31,2,7,5,4,4
13_4,3,7,12,18,23,27,90,30,24,30,16,30,4,5,6,5,4
13_5,3,8,13,19,24,29,96,32,26,32,16,32,5,5,6,5,5
13_6,3,12,14,18,22,29,98,32,26,34,10,32,9,2,4,4,7
13_7,3,12,16,18,23,29,101,32,26,35,11,34,9,4,2,5,6
13_8,2,12,15,19,23,28,99,30,26,35,11,34,10,3,4,4,5
13_9,2,9,12,14,19,25,81,27,23,28,10,26,7,3,2,5,6
13_10,4,10,13,15,21,25,88,29,21,31,11,28,6,3,2,6,4
14_1,3,7,13,17,26,27,93,30,24,33,19,30,4,6,4,9,1
14_2,6,9,17,20,25,28,105,34,22,34,16,37,3,8,3,5,3
14_3,3,6,11,16,20,25,81,28,22,26,14,27,3,5,5,4,5
14_4,4,8,14,19,24,28,97,32,24,32,16,33,4,6,5,5,4
14_5,4,8,14,19,24,28,97,32,24,32,16,33,4,6,5,5,4
14_6,3,6,9,10,18,25,71,28,22,24,12,19,3,3,1,8,7
14_7,1,5,6,10,17,24,63,25,23,22,12,16,4,1,4,7,7
14_8,1,5,8,12,17,27,70,28,26,22,12,20,4,3,4,5,10
