Game,Date,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20
18042,20180415,9,7,10,10,9,8,8,9,9,8,8,8,10,8,9,9,9,10,9,9
18043,20180417,7,6,7,7,9,6,8,9,7,5,9,10,7,8,4,8,8,7,8,7
18044,20180419,9,8,9,9,7,7,6,8,8,7,7,8,6,8,10,7,6,8,6,8
18045,20180422,8,10,6,7,7,8,6,7,8,8,10,7,6,8,8,6,5,9,8,7
18046,20180424,9,7,9,8,9,7,8,9,8,9,9,10,9,8,7,8,8,10,10,8
18047,20180426,7,6,5,8,6,8,5,8,8,5,7,6,5,6,8,8,7,7,5,8
18048,20180429,5,7,5,6,6,6,7,8,4,6,7,7,7,6,6,6,4,7,7,4
18049,20180501,5,6,7,6,4,7,10,6,5,7,8,6,3,6,5,8,7,8,7,6
18050,20180503,7,7,9,7,6,7,7,7,8,8,6,6,5,8,10,5,7,8,7,7
18051,20180506,7,8,9,8,5,9,7,8,7,7,6,6,7,6,8,9,6,9,6,5
18052,20180508,7,8,8,9,9,4,8,8,7,6,8,6,4,6,5,4,7,6,6,8
18053,20180510,7,6,7,7,8,7,8,6,5,8,6,7,7,9,8,9,9,8,10,9
18054,20180513,6,9,8,9,10,5,7,8,8,8,8,7,9,9,6,8,7,6,10,9
18055,20180515,8,7,10,9,4,5,7,6,7,4,10,6,4,8,8,9,4,7,6,6
18056,20180517,6,9,6,6,6,6,8,7,4,8,9,7,6,7,6,5,6,5,6,5
18057,20180520,8,8,9,9,9,7,6,10,10,8,8,7,8,10,9,8,9,7,10,9
18058,20180522,6,6,6,7,5,8,8,5,8,5,9,6,6,6,4,8,6,8,8,8
18059,20180524,10,7,9,10,8,8,8,7,8,6,9,8,6,7,7,7,6,9,6,8
18060,20180527,8,6,7,8,10,9,7,6,6,9,8,8,9,7,8,9,7,7,9,9
18061,20180529,10,7,10,9,9,9,10,10,10,9,9,10,9,9,9,9,8,10,8,9
18062,20180531,5,8,6,8,9,7,10,7,7,5,8,7,7,7,7,7,8,8,7,9
18063,20180603,7,5,6,4,5,4,4,5,7,4,6,6,6,6,6,7,6,7,4,5
18064,20180605,5,6,4,4,7,4,5,7,3,5,7,5,5,3,6,4,6,8,6,6
18065,20180607,8,6,8,7,9,6,5,9,7,8,6,9,7,8,6,7,8,6,6,6
18066,20180610,6,4,8,9,10,6,9,6,7,9,8,6,7,7,6,8,9,6,7,6
18067,20180612,6,7,6,6,5,8,8,8,9,8,6,5,6,7,5,7,5,6,8,7
18068,20180614,8,9,7,9,8,8,9,8,7,8,4,9,9,9,9,8,7,10,8,10
18069,20180617,9,9,8,6,9,8,9,5,9,10,9,8,8,8,7,8,10,9,6,8
18070,20180619,8,8,6,8,8,9,9,7,8,7,6,9,7,4,8,7,10,6,9,7
18071,20180621,8,8,8,9,7,8,9,9,8,8,8,9,9,6,8,9,10,7,9,8
18072,20180624,6,6,9,8,5,7,8,7,8,5,9,6,8,7,9,8,8,6,9,7
18073,20180626,10,8,7,9,9,6,8,8,9,8,8,6,8,9,9,7,8,9,9,7
18074,20180628,5,8,9,7,8,9,7,6,7,9,9,7,7,7,9,9,7,7,8,5
18075,20180701,9,7,9,7,8,8,8,8,7,6,8,8,8,10,6,6,6,9,7,7
18076,20180703,9,10,5,8,9,6,4,8,10,7,8,7,5,8,9,4,5,8,8,10
18077,20180705,8,8,6,9,7,5,10,10,10,10,10,7,8,6,10,8,7,6,7,9
18078,20180708,8,9,6,6,8,6,9,8,10,5,9,8,8,7,3,6,6,10,10,7
18079,20180710,9,8,7,8,7,8,6,6,8,9,10,9,7,8,9,8,8,10,8,7
18080,20180712,9,7,6,8,7,9,9,8,7,9,6,7,6,10,8,6,6,8,9,8
18081,20180715,6,5,6,6,7,4,2,3,6,6,5,7,3,5,3,5,4,6,5,7
18082,20180717,8,8,8,8,9,10,7,8,9,9,9,9,8,7,9,9,9,8,8,9
18083,20180719,4,4,7,5,6,7,7,6,7,9,8,8,6,9,6,8,7,8,8,6
18084,20180722,9,8,9,10,8,9,8,9,9,10,9,7,8,8,9,8,8,9,9,9
18085,20180724,7,7,8,6,5,5,4,4,10,3,7,5,6,9,7,7,9,6,9,7
18086,20180726,5,5,5,7,6,5,4,6,6,7,5,4,6,4,8,6,4,5,7,4
18087,20180729,6,6,8,6,7,7,8,7,7,7,5,6,7,8,6,7,8,7,6,6
18088,20180731,7,7,7,8,8,7,8,9,7,9,8,6,8,8,6,8,4,7,9,9
18089,20180802,7,10,10,7,6,10,6,8,6,7,8,9,9,8,6,10,9,4,10,8
18090,20180805,6,7,8,8,6,7,9,8,8,8,8,10,6,10,8,8,5,10,8,5
18091,20180807,6,4,6,7,6,4,8,5,9,6,6,8,3,8,8,7,7,7,7,8
18092,20180809,6,6,6,7,7,10,7,8,8,7,10,6,10,7,7,8,7,6,7,5
18093,20180812,9,7,10,9,9,8,9,8,8,7,9,6,6,8,9,8,9,7,6,10
18094,20180814,10,8,9,8,7,9,8,6,9,6,8,10,9,9,9,7,8,9,9,9
18095,20180816,8,7,8,6,8,5,6,6,8,8,7,7,6,5,8,4,7,8,7,6
18096,20180819,7,7,5,7,5,9,8,7,8,6,6,5,8,7,7,5,7,6,5,7
18097,20180821,4,7,6,7,6,7,4,9,5,5,8,5,6,7,8,5,6,6,5,6
18098,20180823,4,7,6,8,8,8,8,8,7,7,7,6,7,6,8,7,7,8,7,9
18099,20180826,6,7,8,6,9,7,7,6,8,8,10,9,6,6,8,9,8,9,8,8
18100,20180828,8,6,6,8,8,6,7,8,7,5,6,7,9,5,8,9,7,6,8,8
18101,20180830,6,3,6,6,8,6,4,3,7,3,5,5,5,8,7,7,4,6,8,5
18102,20180902,5,9,5,7,5,7,8,9,5,6,7,6,6,6,6,3,8,7,8,7
18103,20180904,10,7,7,10,8,9,10,7,7,6,7,10,9,9,8,8,7,7,8,7
18104,20180906,8,6,6,6,9,8,7,9,6,8,8,8,8,8,7,9,8,5,6,5
18105,20180909,6,9,9,9,9,7,8,7,10,6,10,9,5,5,8,6,9,10,9,8
18106,20180911,7,8,9,10,8,9,9,7,9,9,9,9,10,8,6,9,8,7,5,10
18107,20180913,7,9,7,8,6,8,6,6,5,7,6,7,9,5,7,5,6,6,7,6
18108,20180916,6,7,8,8,6,9,5,9,6,8,8,7,8,7,7,6,8,6,7,10
18109,20180918,4,5,6,6,6,6,6,7,8,8,7,7,7,6,6,5,3,6,7,6
18110,20180920,6,6,7,8,8,9,5,7,8,5,2,6,3,8,7,6,7,4,4,9
18111,20180923,8,6,9,7,8,8,9,8,10,8,7,8,10,9,10,8,9,9,9,8
18112,20180925,6,6,8,6,7,7,5,8,8,3,9,7,5,4,7,6,6,7,7,6
18113,20180927,10,6,7,7,8,6,8,6,9,7,7,5,6,7,8,9,9,8,6,8
18114,20180930,6,6,9,8,7,7,4,7,9,8,7,8,8,8,6,6,5,6,7,8
18115,20181002,8,9,7,6,8,6,4,7,5,6,6,9,9,6,6,6,9,9,10,9
18116,20181004,8,7,7,7,7,6,8,7,8,7,7,8,7,7,6,5,7,8,8,7
18117,20181007,6,9,10,8,8,8,8,9,6,8,10,9,5,7,9,7,6,8,10,6
18118,20181009,6,9,9,8,7,7,5,6,9,5,6,5,8,10,6,6,6,9,7,7
18119,20181011,9,9,8,9,10,9,8,8,9,5,4,6,9,10,8,10,9,7,7,10
18120,20181014,8,6,5,9,6,8,7,7,8,5,7,8,5,10,8,8,9,7,8,10
18121,20181016,9,7,7,8,8,8,7,10,6,7,7,8,10,9,8,5,8,8,9,9
18122,20181018,6,8,7,7,5,8,8,8,7,9,7,7,4,7,8,7,7,9,8,7
18123,20181021,4,8,9,7,8,8,6,7,10,5,9,5,8,6,7,6,7,8,7,7
18124,20181023,4,7,6,9,9,8,7,9,9,7,9,10,7,9,8,8,8,6,5,9
18125,20181025,8,8,9,8,7,6,7,8,9,9,6,7,9,6,10,8,9,8,5,9
18126,20181028,10,9,9,7,7,9,8,6,6,7,10,7,9,7,8,5,8,6,8,7
18127,20181030,9,7,8,7,8,6,8,5,8,6,7,8,8,9,8,7,8,7,6,7
18128,20181101,8,8,6,5,5,5,8,6,5,6,10,6,8,7,8,7,6,5,9,10
18129,20181104,8,7,8,7,7,10,9,8,4,7,6,8,8,6,8,7,9,8,5,10
18130,20181106,7,7,7,9,7,5,10,9,8,8,6,7,9,8,7,8,7,6,7,9
18131,20181108,9,9,9,10,9,8,9,9,9,10,10,10,8,9,10,5,9,9,8,8
18132,20181111,10,7,8,10,7,8,9,8,7,7,9,8,6,7,9,8,7,6,9,8
18133,20181113,7,5,8,9,9,9,7,6,8,8,7,7,9,8,9,8,8,5,8,6
18134,20181115,7,7,9,8,9,6,4,5,6,8,4,8,6,8,8,6,5,9,6,8
18135,20181118,7,8,8,5,8,5,6,8,6,8,8,7,9,7,8,6,9,10,7,5
18136,20181120,4,8,6,5,8,8,6,8,8,6,9,5,8,7,7,4,5,6,5,7
18137,20181122,6,8,9,7,6,7,5,9,8,6,8,9,7,6,7,7,8,7,8,6
18138,20181125,4,8,3,4,7,5,5,3,6,4,6,8,2,6,7,4,6,5,4,7
18139,20181127,8,6,6,7,5,6,6,5,7,6,6,3,5,8,4,6,8,9,8,7
18140,20181129,8,6,6,8,9,9,7,9,5,7,6,6,9,8,7,5,7,8,7,9
18141,20181202,8,6,8,6,8,5,8,5,9,4,8,7,8,8,7,9,9,7,7,6
18142,20181204,9,8,8,6,8,9,3,6,5,8,9,10,7,7,8,6,8,9,9,7
18143,20181206,7,5,6,8,7,7,9,9,5,9,9,7,9,6,7,8,5,6,7,6
18144,20181209,8,5,8,5,5,6,5,7,8,6,7,5,8,7,7,7,7,6,8,7
18145,20181211,9,7,5,8,7,8,8,6,8,6,9,7,8,7,8,8,8,5,6,8
18146,20181213,7,9,9,8,7,10,5,8,9,8,9,8,8,9,9,8,5,8,9,7
18147,20181216,9,6,7,6,8,7,5,6,7,6,6,5,6,6,7,5,7,6,6,8
18148,20181218,9,8,10,7,9,8,7,6,10,8,9,9,8,10,7,9,8,8,10,8
18149,20181220,7,9,9,8,10,10,10,9,8,9,9,8,9,7,8,8,9,10,8,8
18150,20181223,7,8,9,9,8,8,10,9,9,7,8,9,10,7,9,9,6,8,8,9
18151,20181225,6,8,9,8,10,6,10,10,8,9,10,9,10,9,10,9,8,8,9,8
18152,20181227,8,6,6,8,8,9,8,9,10,8,8,8,7,5,10,10,10,8,9,9
18153,20181230,6,3,7,4,3,6,7,3,3,6,5,8,5,5,8,7,7,5,8,5
19001,20190101,6,6,9,8,8,6,7,4,4,8,8,7,8,7,9,7,8,8,5,7
19002,20190103,5,8,8,10,10,10,9,9,9,9,10,7,10,8,10,9,9,8,8,10
19003,20190106,8,5,7,6,5,6,7,5,7,5,8,7,7,5,7,8,7,6,7,7
19004,20190108,9,6,8,8,6,9,5,5,6,8,7,10,8,8,9,6,8,5,8,9
19005,20190110,5,6,5,4,6,6,6,9,7,7,4,6,3,3,6,6,4,6,7,6
19006,20190113,8,7,7,8,6,7,8,5,6,10,9,7,7,9,7,7,8,7,6,8
19007,20190115,8,8,10,10,9,8,6,8,7,8,9,9,7,6,9,9,10,5,8,7
19008,20190117,6,5,7,8,9,8,2,4,3,8,7,6,4,6,4,5,4,7,7,7
19009,20190120,5,6,6,6,6,8,6,6,6,6,5,7,6,6,5,4,5,5,4,6
19010,20190122,8,10,8,10,6,10,8,9,8,9,10,7,9,9,6,8,7,7,7,9
19011,20190124,6,9,8,9,8,7,7,8,7,9,7,7,9,8,10,6,7,8,7,8
19012,20190127,4,6,5,4,9,5,4,7,8,5,4,7,6,6,7,7,4,8,5,7
19013,20190129,8,8,6,8,8,9,9,7,10,8,7,6,7,8,9,8,7,5,6,8
19014,20190131,8,7,9,8,8,7,8,5,5,8,7,7,7,9,6,8,9,9,5,7
19015,20190203,8,9,7,8,8,8,6,8,7,7,6,4,6,9,8,6,8,10,9,8
19016,20190212,8,9,7,8,6,6,8,7,9,9,9,7,9,9,8,7,7,9,6,8
19017,20190214,9,9,9,5,7,7,9,7,9,10,8,6,8,9,10,6,8,7,10,6
19018,20190217,8,5,10,10,7,7,6,9,7,6,7,9,9,8,8,9,9,7,10,7
19019,20190219,9,8,10,6,8,9,10,10,8,9,8,10,10,9,9,10,9,9,9,7
19020,20190221,7,8,5,10,6,7,10,6,6,7,7,6,6,9,6,8,8,8,10,6
19021,20190224,6,7,6,10,5,8,9,7,6,8,7,7,8,8,8,4,9,6,9,9
19022,20190226,7,7,5,7,8,8,3,6,7,5,5,6,5,6,4,6,8,5,6,6
19023,20190228,5,7,9,6,7,8,8,9,6,8,5,8,9,8,8,8,6,6,9,7
19024,20190303,9,10,6,9,7,7,10,7,8,9,9,7,9,8,9,8,8,10,10,8
19025,20190305,8,5,5,6,7,5,8,7,8,6,8,6,5,4,8,5,7,3,6,5
19026,20190307,6,6,8,6,9,9,7,7,7,7,9,5,7,10,8,7,8,9,3,9
19027,20190310,6,7,8,7,7,7,8,7,4,7,8,7,5,9,9,9,8,7,7,7
19028,20190312,7,9,9,9,8,10,8,8,9,10,9,8,9,10,7,9,9,6,10,8
19029,20190314,7,8,9,4,3,3,9,4,2,6,6,6,7,7,4,4,6,2,6,3
19030,20190317,9,10,5,9,5,8,7,7,7,10,8,9,7,9,5,7,9,9,9,8
19031,20190319,5,6,8,5,5,6,8,8,5,6,7,7,5,5,9,7,7,5,4,5
19032,20190321,9,8,5,7,6,10,7,10,6,9,7,8,10,8,6,8,5,8,7,9
19033,20190324,7,8,8,9,8,7,8,8,9,9,9,8,8,7,10,9,9,5,9,9
19034,20190326,6,9,9,8,8,7,6,7,7,8,7,8,8,8,10,7,6,9,9,8
19035,20190328,9,8,8,7,9,8,8,5,7,8,9,9,8,9,8,7,8,8,8,6
19036,20190331,6,6,5,6,5,8,5,7,8,5,7,7,8,4,5,7,5,6,5,4
19037,20190402,8,9,7,8,9,8,9,6,6,8,7,7,9,9,8,7,10,9,8,8
19038,20190404,9,9,8,8,5,4,10,8,9,10,9,7,8,8,7,6,8,8,9,6
19039,20190407,6,8,6,6,5,6,7,7,7,8,7,8,9,5,4,7,8,6,7,7
19040,20190409,7,7,8,10,9,7,10,9,8,8,9,9,8,10,9,6,8,7,8,7
19041,20190411,8,4,6,8,6,10,7,10,5,7,7,7,8,8,7,9,6,8,8,6
19042,20190414,10,7,7,7,7,9,9,9,10,9,8,8,9,10,9,10,9,8,10,10
19043,20190416,5,5,6,8,7,6,8,5,6,9,7,7,4,7,7,7,8,6,6,4
19044,20190418,6,9,6,9,10,7,6,10,9,9,9,7,8,8,10,7,9,8,8,7
19045,20190421,6,4,6,5,6,6,3,7,6,5,7,4,7,5,6,4,5,5,5,6
19046,20190423,5,6,6,5,5,6,4,5,7,5,5,3,4,7,6,8,3,7,7,7
19047,20190425,3,7,4,7,6,5,5,6,5,8,4,8,6,6,6,2,7,5,4,5
19048,20190428,6,8,6,8,9,8,6,5,5,8,8,9,6,6,8,7,10,9,6,8
19049,20190430,6,7,8,7,8,8,9,6,5,7,9,6,6,8,6,6,8,7,8,7
19050,20190502,7,9,10,7,9,9,8,7,10,10,8,8,8,10,7,9,10,8,10,9
19051,20190505,7,8,6,9,7,8,9,10,10,7,7,9,7,10,9,8,8,6,7,10
19052,20190507,9,10,9,9,6,8,8,10,10,7,8,10,6,7,8,9,10,9,10,7
19053,20190509,7,9,7,9,5,9,9,6,9,7,6,6,9,7,8,9,6,7,6,7
19054,20190512,9,7,9,7,8,9,8,8,8,8,9,10,8,6,8,7,7,7,10,7
19055,20190514,9,7,6,8,4,7,5,3,7,6,7,6,5,9,8,9,7,8,9,6
19056,20190516,8,7,9,10,8,8,8,8,9,9,8,9,6,10,8,6,9,7,8,10
19057,20190519,6,10,9,6,8,10,7,6,10,7,7,6,9,9,8,9,10,7,8,6
19058,20190521,7,6,8,5,6,7,8,8,5,7,7,6,4,8,6,7,6,7,7,7
19059,20190523,7,8,9,7,8,7,9,8,8,8,8,9,10,9,8,9,6,8,9,9
19060,20190526,8,6,7,10,8,7,8,8,9,7,5,7,9,6,8,8,9,6,5,7
19061,20190528,9,8,6,9,6,8,10,8,10,7,10,6,6,8,8,8,8,6,5,9
19062,20190530,4,7,6,7,7,7,8,7,7,6,10,6,7,9,8,8,9,7,6,7
19063,20190602,6,7,10,8,8,9,6,8,9,5,9,7,8,8,8,7,8,8,7,9
19064,20190604,8,5,6,6,9,7,4,9,5,9,8,9,6,6,8,7,8,7,6,6
19065,20190606,6,8,8,7,6,7,9,7,7,8,5,6,6,5,5,8,9,6,5,7
19066,20190609,6,6,6,7,3,8,4,6,6,6,5,7,8,5,9,5,6,8,8,8
19067,20190611,7,5,6,7,7,4,6,9,8,6,6,5,10,7,8,9,6,5,9,7
19068,20190613,9,7,7,5,4,8,6,7,7,6,8,6,9,6,7,5,8,5,7,9
19069,20190616,8,7,5,5,6,6,8,7,6,6,9,7,7,7,4,7,7,6,8,6
19070,20190618,6,8,8,4,8,7,7,6,8,7,5,5,7,8,7,6,10,5,8,8
19071,20190620,8,9,9,9,9,7,10,10,8,6,8,9,9,9,8,10,9,7,8,8
19072,20190623,9,9,9,8,8,9,8,9,8,8,8,4,8,6,7,7,7,9,7,7
19073,20190625,6,6,7,5,7,8,8,6,7,4,5,4,4,4,5,7,6,7,5,8
19074,20190627,7,7,6,7,5,5,4,6,8,9,7,8,7,5,7,7,7,8,9,6
19075,20190630,6,6,3,3,7,7,5,6,5,6,6,5,5,7,6,6,6,5,6,6
19076,20190702,7,5,5,4,5,3,6,6,6,7,6,7,6,5,6,6,8,9,8,6
19077,20190704,8,8,7,6,8,7,8,8,9,7,5,7,8,7,6,7,9,9,7,8
19078,20190707,6,10,9,8,5,7,9,6,8,6,5,7,8,7,8,10,6,4,10,9
19079,20190709,6,7,5,8,9,8,7,9,7,7,5,8,8,9,9,8,9,9,9,7
19080,20190711,9,8,7,7,9,7,8,9,9,9,8,9,4,6,7,7,8,4,8,7
19081,20190714,9,7,5,6,6,8,6,6,9,7,5,8,8,8,8,6,7,7,8,10
19082,20190716,9,9,8,8,10,7,7,9,10,8,10,8,8,7,8,9,6,7,7,10
19083,20190718,7,8,8,7,9,5,6,8,5,7,9,7,7,9,10,7,9,8,8,9
19084,20190721,5,6,8,8,7,7,5,6,8,5,7,8,3,5,8,7,8,5,3,9
19085,20190723,5,7,6,6,6,6,10,6,6,9,9,7,9,4,8,8,6,8,8,8
19086,20190725,7,6,6,7,7,7,8,8,6,7,7,8,9,6,9,6,8,7,7,8
19087,20190728,6,8,6,8,6,10,8,8,7,4,6,5,7,9,8,10,10,9,9,9
19088,20190730,7,7,4,7,8,7,6,6,8,8,8,8,9,8,8,8,8,9,7,8
19089,20190801,8,7,8,8,9,9,4,9,9,8,7,6,6,6,7,6,7,8,10,7
19090,20190804,9,7,6,8,7,6,3,9,6,8,6,10,6,7,6,7,6,7,8,6
19091,20190806,7,7,9,6,9,7,5,7,8,7,6,9,8,5,7,9,7,8,8,9
19092,20190808,8,6,7,8,7,7,7,7,9,10,6,8,7,5,6,8,9,5,7,7
19093,20190811,9,7,9,9,10,8,8,10,9,9,10,9,7,7,9,8,5,9,8,7
19094,20190813,5,9,5,6,7,8,6,5,6,8,5,7,6,8,6,10,5,6,7,8
19095,20190815,8,7,7,7,9,7,8,9,7,5,7,8,8,6,4,8,8,6,6,8
19096,20190818,7,7,7,6,9,10,5,6,7,6,9,7,8,8,5,3,6,7,5,6
19097,20190820,9,9,8,7,8,7,9,9,7,9,6,8,7,8,8,7,9,10,9,6
19098,20190822,8,5,9,7,7,6,9,9,8,7,8,7,7,7,8,8,8,10,9,8
19099,20190825,8,7,5,7,8,6,7,8,6,8,8,7,8,9,8,5,7,6,8,6
19100,20190827,7,7,6,6,7,7,9,5,5,7,4,10,10,7,7,7,8,8,7,7
19101,20190829,6,7,6,5,5,6,7,6,7,7,5,5,7,6,6,8,5,4,5,6
19102,20190901,5,6,6,6,7,6,7,7,6,6,6,3,6,6,4,8,6,6,5,8
19103,20190903,9,8,9,6,8,6,8,7,9,8,8,8,10,7,7,9,8,8,8,9
19104,20190905,9,8,9,8,9,9,8,8,9,8,9,7,6,8,9,6,8,8,7,6
19105,20190908,6,6,6,7,4,6,8,5,8,10,7,8,7,6,6,5,4,6,7,10
19106,20190910,6,7,5,8,7,5,8,6,7,9,7,8,7,7,6,7,10,6,8,7
19107,20190912,5,7,5,6,3,9,6,6,6,5,6,6,8,8,4,7,6,7,7,7
19108,20190915,7,9,6,5,5,8,4,7,6,7,8,9,9,9,7,6,8,9,6,8
19109,20190917,9,6,8,9,9,8,7,6,10,8,9,7,7,8,8,10,9,8,7,8
19110,20190919,8,9,6,7,8,7,6,8,6,7,7,7,5,8,4,8,9,6,6,7
19111,20190922,7,6,7,8,8,9,6,6,4,8,5,5,4,5,10,6,9,3,10,5
19112,20190924,6,6,6,9,5,7,6,6,7,9,10,8,7,5,6,8,7,7,8,4
19113,20190926,5,8,9,6,7,8,8,7,7,8,6,8,5,6,7,9,6,5,7,10
19114,20190929,6,8,7,6,7,7,8,8,7,9,10,7,10,6,9,8,6,8,7,9
19115,20191008,9,8,7,9,8,9,8,9,9,9,8,10,8,6,6,9,7,10,9,8
19116,20191010,5,8,8,6,7,8,8,7,8,5,7,7,7,6,3,4,6,7,5,6
19117,20191013,8,6,6,4,6,8,5,9,7,7,6,5,6,5,7,4,8,6,6,6
19118,20191015,8,9,7,6,9,9,9,9,8,7,6,8,7,7,10,9,6,10,10,6
19119,20191017,9,5,6,8,7,7,7,8,9,8,7,9,9,8,8,7,6,7,7,8
19120,20191020,4,8,4,5,7,5,3,4,3,5,7,5,3,4,3,8,2,4,5,3
19121,20191022,7,7,4,4,6,5,7,2,6,3,5,5,4,6,6,8,7,7,6,3
19122,20191024,8,8,9,9,7,7,8,6,9,8,7,9,7,9,9,10,10,4,7,9
19123,20191027,9,9,6,7,5,8,9,6,7,10,8,9,8,7,8,6,8,6,5,8
19124,20191029,8,9,8,5,5,6,7,7,7,6,7,6,8,6,8,8,8,7,8,3
19125,20191031,6,6,7,7,7,9,7,8,10,8,6,9,5,8,8,7,8,8,9,5
19126,20191103,7,4,7,6,6,7,8,7,5,6,9,9,6,4,8,5,5,5,8,6
19127,20191105,9,8,7,8,8,8,5,9,9,9,8,9,8,8,8,7,8,8,7,7
19128,20191107,7,9,4,7,7,9,7,6,9,6,4,7,10,8,9,9,9,8,8,8
19129,20191110,8,10,8,7,6,6,7,8,8,8,10,7,8,7,10,9,8,9,9,7
19130,20191112,6,6,8,7,7,8,7,1,7,3,8,8,6,10,7,9,6,8,6,5
19131,20191114,9,8,5,8,9,10,9,9,10,9,9,6,10,8,8,9,9,8,8,8
19132,20191117,8,8,10,8,8,7,4,8,6,7,5,8,9,8,8,9,10,6,5,9
19133,20191119,9,6,4,8,9,7,8,7,8,4,8,7,7,9,6,8,7,9,6,7
19134,20191121,7,10,10,10,6,8,9,7,7,8,8,9,10,9,5,10,8,8,10,10
19135,20191124,6,7,7,6,6,6,7,6,7,5,6,7,8,4,6,9,5,3,6,9
19136,20191126,9,4,9,9,5,7,7,9,6,10,8,9,6,10,8,10,7,8,6,9
19137,20191128,9,4,8,7,5,5,7,8,6,8,8,7,4,7,9,8,8,8,7,8
19138,20191201,4,5,4,4,7,4,3,4,3,5,4,4,3,3,4,3,5,2,3,3
19139,20191203,7,7,4,6,8,7,10,7,6,10,8,8,7,7,6,5,5,6,7,7
19140,20191205,8,9,9,7,6,10,7,7,9,10,9,9,7,8,9,8,8,8,10,10
19141,20191208,8,8,8,9,8,8,8,8,9,10,10,9,10,9,8,9,10,10,8,8
19142,20191210,9,8,8,8,10,8,8,8,7,10,8,5,6,8,7,9,9,7,7,5
19143,20191212,7,5,7,7,7,5,6,7,5,9,6,5,6,7,7,5,7,9,6,6
19144,20191215,6,6,6,5,7,6,5,7,8,3,4,8,8,6,8,4,9,3,6,4
19145,20191217,7,6,6,8,9,7,5,8,6,7,7,9,9,7,5,6,7,6,9,7
19146,20191219,8,6,6,4,7,8,8,7,7,8,7,8,8,5,10,6,9,10,5,9
19147,20191222,6,7,8,7,6,6,8,5,6,6,7,7,8,10,5,3,6,9,6,7
19148,20191224,8,8,8,9,10,8,8,9,7,10,9,10,6,7,8,9,8,7,7,9
19149,20191226,7,4,8,5,7,6,7,4,8,7,4,6,5,5,5,4,7,6,8,8
19150,20191229,5,7,5,6,7,8,7,8,6,5,4,7,8,6,8,6,8,7,8,7
19151,20191231,10,9,8,6,9,7,6,8,8,4,7,6,7,10,4,8,5,7,7,9
20001,20200102,8,10,7,8,7,9,7,9,10,6,8,8,6,7,8,6,8,7,8,7
20002,20200105,8,7,6,6,8,8,8,7,7,9,7,10,8,8,5,7,7,10,6,7
20003,20200107,6,9,7,9,6,6,7,9,7,8,9,9,9,8,5,7,9,10,6,8
20004,20200109,4,7,6,6,5,5,2,6,6,6,3,5,4,5,8,6,7,4,3,9
20005,20200112,8,6,6,7,5,7,4,5,5,8,10,4,5,4,8,5,6,6,5,4
20006,20200114,7,10,7,9,8,8,7,9,10,7,7,2,8,6,7,9,7,5,8,9
20007,20200116,7,8,4,8,9,8,6,5,6,9,8,6,6,9,6,9,8,8,8,7
20008,20200119,8,7,9,9,6,7,9,7,9,9,10,6,7,7,8,7,7,9,8,8
20009,20200121,7,6,8,4,3,8,8,6,6,6,8,7,9,9,7,8,8,7,9,6
20010,20200312,6,8,5,7,10,9,9,3,7,8,8,10,9,10,8,9,9,6,7,7
20011,20200315,7,10,7,9,8,10,10,10,10,9,8,9,8,8,8,7,6,10,9,6
20012,20200317,8,3,6,7,5,9,8,9,8,8,3,6,8,8,9,9,7,5,6,8
20013,20200319,8,7,9,8,7,9,7,8,9,7,8,9,6,8,3,9,8,7,9,7
20014,20200322,9,8,7,6,8,6,7,5,9,6,6,5,7,8,6,6,4,9,6,7
20015,20200324,9,7,8,7,9,9,6,7,8,9,8,7,9,7,7,9,9,10,8,7
20016,20200326,9,9,9,9,7,9,10,7,8,9,8,9,7,9,7,6,8,9,8,10
20017,20200329,9,6,7,10,7,7,7,7,8,7,10,9,6,5,8,6,9,6,9,7
20018,20200331,8,6,7,6,7,6,6,4,6,6,5,6,4,7,6,6,7,4,8,7
20019,20200402,8,10,9,6,7,8,7,9,8,10,6,9,8,10,9,9,8,10,8,9
20020,20200405,4,7,8,7,4,6,8,7,7,8,6,8,6,8,8,7,7,5,8,5
20021,20200407,8,9,7,7,7,8,8,8,3,8,7,6,10,8,10,9,9,7,7,9
20022,20200409,8,6,9,8,9,6,5,8,7,8,8,10,8,7,9,10,7,7,7,5
20023,20200412,9,9,9,8,9,10,6,5,9,7,9,6,9,7,7,9,9,8,7,8
20024,20200414,9,7,7,8,6,10,10,10,9,9,9,8,8,9,8,9,10,9,9,8
20025,20200416,7,7,5,8,8,6,9,7,10,6,9,6,8,7,7,8,8,8,4,9
20026,20200419,7,6,7,5,7,7,7,5,6,6,7,7,7,6,5,8,6,6,9,8
20027,20200421,6,9,8,8,10,10,9,7,6,10,8,6,8,4,10,6,6,9,8,7
20028,20200423,9,6,6,9,8,8,6,8,10,8,6,10,4,8,7,10,8,10,7,7
20029,20200426,7,4,4,3,6,6,7,7,7,7,6,7,7,8,5,6,6,5,6,7
20030,20200428,6,10,7,10,9,10,7,9,9,8,8,7,10,10,9,7,8,6,5,7
20031,20200430,8,9,8,9,9,7,7,8,8,10,8,9,6,10,9,8,7,7,9,9
20032,20200503,9,10,10,6,9,6,7,9,9,10,7,7,7,6,8,7,8,9,9,7
20033,20200505,6,9,6,6,9,7,5,6,4,6,6,6,9,8,8,8,7,7,6,9
