Game,Date,P1,P19,P9,P15,P#,P2,P16,P#,P5,P#,P17,P10,P3,P12,P#,P8,P#,P18,P#,P13,P#,P11,P4,P#,P14,P7,P#,P6,P#,P20,P#
17101,20170829,7,4,4,6,#,13,20,#,5,#,16,3,4,6,#,3,#,5,#,4,#,17,2,#,16,9,#,9,#,3,#
17102,20170831,12,2,8,11,#,4,8,#,1,#,7,6,1,15,#,8,#,8,#,4,#,1,2,#,2,4,#,2,#,1,#
17103,20170903,20,2,2,8,#,2,7,#,2,#,4,3,10,5,#,3,#,4,#,2,#,3,2,#,2,13,#,1,#,2,#
17104,20170905,2,5,7,3,#,4,3,#,10,#,8,2,3,1,#,6,#,3,#,6,#,3,1,#,1,8,#,6,#,22,#
17105,20170907,2,3,3,2,#,4,2,#,3,#,2,1,2,1,#,4,#,7,#,1,#,2,4,#,1,1,#,1,#,2,#
17106,20170910,2,7,4,2,#,9,6,#,1,#,5,5,5,5,#,2,#,7,#,3,#,1,14,#,4,5,#,2,#,5,#
17107,20170912,2,6,4,13,#,8,6,#,13,#,5,1,6,1,#,7,#,7,#,3,#,6,7,#,11,7,#,6,#,9,#
17108,20170914,2,4,1,1,#,11,1,#,1,#,5,3,1,3,#,2,#,2,#,1,#,1,3,#,1,2,#,7,#,2,#
17109,20170917,1,8,3,1,#,4,8,#,13,#,3,2,12,3,#,5,#,18,#,4,#,1,1,#,2,13,#,6,#,7,#
17110,20170919,1,4,3,2,#,2,4,#,2,#,1,1,2,1,#,3,#,3,#,6,#,9,4,#,1,2,#,2,#,3,#
17111,20170921,5,6,3,3,#,5,2,#,5,#,6,1,2,5,#,3,#,1,#,3,#,3,4,#,4,2,#,3,#,4,#
17112,20170924,3,13,10,11,#,1,2,#,4,#,2,3,2,4,#,3,#,4,#,3,#,2,2,#,8,2,#,5,#,13,#
17113,20170926,3,1,1,1,#,4,4,#,4,#,1,5,1,1,#,3,#,1,#,2,#,1,2,#,5,1,#,4,#,6,#
17114,20170928,9,9,2,1,#,8,6,#,3,#,3,2,8,4,#,4,#,3,#,5,#,1,4,#,5,4,#,2,#,3,#
17115,20171001,1,11,1,4,#,4,2,#,2,#,6,1,1,2,#,1,#,6,#,7,#,1,1,#,2,3,#,2,#,3,#
17116,20171003,4,17,7,1,#,7,17,#,13,#,9,10,4,11,#,4,#,5,#,2,#,14,3,#,7,8,#,1,#,4,#
17117,20171005,9,11,3,1,#,4,1,#,5,#,4,11,4,6,#,1,#,4,#,7,#,10,4,#,5,2,#,1,#,4,#
17118,20171008,5,4,6,3,#,2,1,#,12,#,1,7,2,3,#,4,#,1,#,10,#,2,3,#,4,2,#,7,#,1,#
17119,20171010,1,3,2,2,#,3,1,#,1,#,6,4,5,7,#,6,#,1,#,1,#,7,3,#,10,3,#,1,#,1,#
17120,20171012,8,6,5,3,#,3,6,#,9,#,1,5,12,7,#,1,#,5,#,9,#,4,1,#,3,8,#,6,#,8,#
17121,20171015,7,5,2,6,#,14,6,#,4,#,9,2,11,15,#,7,#,4,#,7,#,4,7,#,8,7,#,10,#,15,#
17122,20171017,9,12,7,7,#,5,7,#,7,#,5,3,8,1,#,13,#,10,#,15,#,15,4,#,1,8,#,14,#,15,#
17123,20171019,6,3,2,6,#,1,5,#,1,#,4,6,1,2,#,4,#,1,#,4,#,6,1,#,3,2,#,1,#,4,#
17124,20171022,4,4,1,2,#,9,3,#,4,#,3,3,4,2,#,1,#,7,#,4,#,1,5,#,1,2,#,12,#,2,#
17125,20171024,1,4,1,2,#,4,2,#,2,#,2,7,2,7,#,2,#,6,#,3,#,6,2,#,1,1,#,1,#,2,#
17126,20171026,1,10,13,12,#,9,12,#,4,#,4,16,3,10,#,13,#,9,#,7,#,9,13,#,4,3,#,7,#,13,#
17127,20171029,2,6,1,5,#,8,10,#,16,#,3,3,9,8,#,15,#,2,#,6,#,9,9,#,2,10,#,7,#,9,#
17128,20171031,3,3,4,4,#,7,5,#,2,#,7,2,12,16,#,5,#,3,#,6,#,2,12,#,4,2,#,5,#,9,#
17129,20171102,4,2,1,4,#,1,3,#,5,#,5,6,1,2,#,5,#,8,#,5,#,11,6,#,2,12,#,3,#,5,#
17130,20171105,6,2,3,6,#,1,4,#,2,#,1,4,10,8,#,4,#,9,#,9,#,2,5,#,1,7,#,3,#,5,#
17131,20171107,1,1,4,6,#,1,5,#,9,#,4,4,14,3,#,7,#,2,#,2,#,4,10,#,5,12,#,6,#,5,#
17132,20171109,5,1,6,5,#,6,11,#,10,#,6,1,2,2,#,7,#,7,#,2,#,1,4,#,12,6,#,6,#,3,#
17133,20171112,7,13,3,14,#,6,18,#,9,#,4,3,15,10,#,10,#,6,#,11,#,12,1,#,8,4,#,16,#,13,#
17134,20171114,3,2,6,1,#,2,3,#,1,#,1,13,2,7,#,2,#,2,#,2,#,2,4,#,5,1,#,3,#,2,#
17135,20171116,11,3,11,3,#,8,8,#,3,#,8,4,8,4,#,16,#,8,#,13,#,4,6,#,5,2,#,2,#,9,#
17136,20171119,3,7,2,4,#,2,2,#,1,#,2,1,1,1,#,5,#,5,#,7,#,1,1,#,3,7,#,1,#,5,#
17137,20171121,12,9,2,2,#,10,1,#,3,#,7,8,1,2,#,7,#,10,#,2,#,1,3,#,5,1,#,4,#,5,#
17138,20171123,16,7,8,3,#,23,1,#,8,#,9,4,8,2,#,7,#,11,#,4,#,5,15,#,9,6,#,7,#,4,#
17139,20171126,1,9,9,7,#,7,1,#,5,#,4,8,11,12,#,7,#,4,#,8,#,2,7,#,3,2,#,10,#,6,#
17140,20171128,4,7,4,3,#,6,9,#,11,#,5,2,10,10,#,5,#,10,#,1,#,5,9,#,3,7,#,10,#,4,#
17141,20171130,10,3,1,2,#,6,4,#,12,#,5,9,4,5,#,6,#,7,#,2,#,3,11,#,7,7,#,7,#,1,#
17142,20171203,9,3,3,3,#,12,4,#,8,#,3,1,3,1,#,1,#,2,#,4,#,4,3,#,4,2,#,4,#,6,#
17143,20171205,2,5,1,2,#,3,2,#,4,#,1,1,2,10,#,1,#,2,#,5,#,2,2,#,1,5,#,5,#,1,#
17144,20171207,9,1,2,3,#,2,1,#,5,#,8,4,3,1,#,17,#,3,#,5,#,5,4,#,1,3,#,4,#,6,#
17145,20171210,3,1,1,7,#,2,4,#,4,#,2,5,2,3,#,16,#,2,#,1,#,4,4,#,11,9,#,9,#,2,#
17146,20171212,1,7,2,4,#,6,6,#,4,#,13,12,4,6,#,5,#,5,#,6,#,3,15,#,9,4,#,2,#,8,#
17147,20171214,2,6,7,1,#,7,6,#,1,#,1,7,1,2,#,1,#,6,#,2,#,2,12,#,11,3,#,4,#,6,#
17148,20171217,9,1,5,1,#,1,4,#,1,#,3,6,4,3,#,3,#,7,#,6,#,3,7,#,4,9,#,3,#,6,#
17149,20171219,1,5,11,1,#,2,4,#,5,#,1,2,8,12,#,2,#,1,#,2,#,2,5,#,7,7,#,1,#,4,#
17150,20171221,3,1,8,3,#,1,6,#,12,#,2,9,4,2,#,8,#,1,#,4,#,4,7,#,7,5,#,1,#,7,#
17151,20171224,1,1,1,1,#,4,4,#,5,#,2,5,5,1,#,2,#,1,#,4,#,1,2,#,4,3,#,3,#,1,#
17152,20171226,5,3,8,2,#,12,1,#,7,#,3,1,10,2,#,9,#,16,#,3,#,9,6,#,7,4,#,8,#,4,#
17153,20171228,2,11,6,2,#,7,4,#,6,#,7,1,5,5,#,5,#,9,#,7,#,1,11,#,1,6,#,3,#,6,#
17154,20171231,3,7,6,2,#,2,2,#,12,#,6,9,2,4,#,1,#,1,#,6,#,1,1,#,1,4,#,5,#,2,#
18001,20180102,13,3,9,8,#,4,11,#,2,#,1,7,8,8,#,4,#,2,#,10,#,4,5,#,6,10,#,18,#,1,#
18002,20180104,2,7,1,1,#,2,1,#,5,#,1,3,9,12,#,1,#,5,#,5,#,3,5,#,2,4,#,2,#,7,#
18003,20180107,14,6,8,8,#,7,7,#,6,#,8,16,7,16,#,7,#,2,#,2,#,4,5,#,10,7,#,10,#,6,#
18004,20180109,9,6,8,1,#,9,8,#,6,#,7,3,8,13,#,7,#,7,#,5,#,7,6,#,1,5,#,9,#,1,#
18005,20180111,1,3,1,4,#,1,6,#,2,#,1,1,3,2,#,5,#,4,#,1,#,2,13,#,2,3,#,4,#,7,#
18006,20180114,2,5,2,2,#,4,1,#,1,#,1,3,6,2,#,2,#,1,#,5,#,1,2,#,6,1,#,3,#,5,#
18007,20180116,2,16,14,3,#,2,8,#,2,#,2,7,1,4,#,15,#,1,#,3,#,8,1,#,2,9,#,7,#,4,#
18008,20180118,3,3,1,4,#,1,2,#,3,#,1,1,1,12,#,2,#,1,#,1,#,1,3,#,4,2,#,4,#,3,#
18009,20180121,7,11,4,11,#,6,10,#,6,#,8,11,2,1,#,5,#,1,#,11,#,12,11,#,10,2,#,3,#,2,#
18010,20180123,5,12,4,2,#,9,5,#,1,#,5,3,6,9,#,3,#,6,#,1,#,6,1,#,1,7,#,3,#,2,#
18011,20180125,8,9,7,6,#,11,1,#,11,#,1,2,6,2,#,8,#,6,#,1,#,6,9,#,1,7,#,3,#,1,#
18012,20180128,2,4,4,1,#,1,3,#,4,#,1,2,6,3,#,7,#,1,#,6,#,6,6,#,3,2,#,2,#,6,#
18013,20180130,12,8,2,5,#,1,2,#,3,#,12,3,18,2,#,8,#,5,#,6,#,6,2,#,9,13,#,6,#,7,#
18014,20180201,1,5,2,8,#,1,3,#,4,#,7,4,1,6,#,2,#,1,#,1,#,1,4,#,2,1,#,2,#,3,#
18015,20180204,1,8,18,5,#,18,16,#,8,#,16,15,11,4,#,15,#,9,#,10,#,11,20,#,8,9,#,4,#,4,#
18016,20180206,5,3,2,3,#,2,6,#,1,#,11,9,4,8,#,2,#,5,#,3,#,5,1,#,9,5,#,1,#,4,#
18017,20180208,2,2,8,3,#,8,7,#,10,#,2,4,12,5,#,2,#,6,#,8,#,2,4,#,7,11,#,4,#,9,#
18018,20180211,6,1,3,12,#,7,2,#,3,#,12,5,2,3,#,6,#,6,#,14,#,4,5,#,4,2,#,5,#,5,#
18019,20180213,8,1,6,3,#,8,5,#,3,#,1,1,2,4,#,5,#,3,#,8,#,1,3,#,2,8,#,6,#,8,#
18020,20180222,1,8,1,2,#,1,4,#,1,#,4,1,3,8,#,1,#,2,#,3,#,3,1,#,4,10,#,3,#,1,#
18021,20180225,2,1,13,4,#,1,5,#,5,#,2,9,2,10,#,4,#,2,#,5,#,1,3,#,5,8,#,11,#,3,#
18022,20180227,8,2,1,5,#,5,13,#,1,#,5,4,4,5,#,3,#,6,#,6,#,2,5,#,3,1,#,6,#,2,#
18023,20180301,2,1,2,2,#,1,1,#,7,#,3,8,9,4,#,6,#,4,#,8,#,4,4,#,6,15,#,3,#,3,#
18024,20180304,2,1,10,1,#,1,3,#,9,#,2,6,14,1,#,3,#,11,#,6,#,1,12,#,5,9,#,1,#,11,#
18025,20180306,1,7,2,9,#,14,3,#,3,#,1,8,1,14,#,6,#,5,#,4,#,3,2,#,1,2,#,2,#,2,#
18026,20180308,3,4,5,6,#,6,3,#,7,#,2,4,1,1,#,4,#,3,#,5,#,5,3,#,3,5,#,1,#,1,#
18027,20180311,4,1,2,2,#,11,10,#,8,#,5,5,8,9,#,3,#,2,#,5,#,6,4,#,6,9,#,2,#,6,#
18028,20180313,9,4,13,7,#,6,2,#,2,#,4,14,3,1,#,7,#,5,#,2,#,9,4,#,10,6,#,3,#,1,#
18029,20180315,1,5,1,2,#,3,4,#,9,#,2,2,4,2,#,1,#,1,#,5,#,5,12,#,7,3,#,7,#,2,#
18030,20180318,1,1,2,3,#,8,6,#,3,#,6,1,5,11,#,5,#,1,#,1,#,3,9,#,3,10,#,13,#,5,#
18031,20180320,6,4,14,8,#,3,11,#,9,#,11,15,15,4,#,9,#,12,#,7,#,18,2,#,5,2,#,14,#,6,#
18032,20180322,3,7,8,2,#,5,2,#,7,#,7,3,6,3,#,3,#,4,#,3,#,2,2,#,3,4,#,3,#,5,#
18033,20180325,8,7,4,1,#,1,5,#,4,#,1,8,4,6,#,9,#,3,#,11,#,1,4,#,5,12,#,8,#,8,#
18034,20180327,10,4,2,12,#,7,4,#,8,#,12,8,13,6,#,6,#,1,#,8,#,10,3,#,5,16,#,3,#,11,#
18035,20180329,2,12,3,3,#,4,5,#,5,#,4,9,5,8,#,7,#,9,#,2,#,5,9,#,10,2,#,1,#,9,#
18036,20180401,9,2,2,1,#,18,1,#,1,#,7,4,4,8,#,1,#,5,#,7,#,4,4,#,1,4,#,7,#,1,#
18037,20180403,4,5,2,1,#,13,2,#,1,#,4,6,3,6,#,15,#,1,#,2,#,6,5,#,8,4,#,1,#,5,#
18038,20180405,2,4,4,2,#,1,1,#,2,#,1,5,3,1,#,3,#,1,#,10,#,1,8,#,9,9,#,2,#,2,#
18039,20180408,5,10,4,5,#,2,4,#,10,#,2,7,9,10,#,1,#,4,#,2,#,2,13,#,8,4,#,5,#,4,#
18040,20180410,7,1,5,5,#,17,15,#,9,#,11,3,3,8,#,11,#,8,#,15,#,18,16,#,3,5,#,5,#,6,#
18041,20180412,3,17,14,10,#,13,4,#,17,#,4,7,7,2,#,5,#,3,#,3,#,3,7,#,15,5,#,16,#,5,#
18042,20180415,2,1,4,4,#,2,4,#,4,#,2,1,1,1,#,2,#,1,#,1,#,2,6,#,4,1,#,3,#,2,#
18043,20180417,4,3,3,10,#,6,9,#,2,#,3,17,5,1,#,2,#,4,#,2,#,1,3,#,4,1,#,7,#,1,#
18044,20180419,2,7,3,2,#,1,2,#,9,#,4,10,1,6,#,6,#,5,#,11,#,13,4,#,3,8,#,6,#,11,#
18045,20180422,5,3,4,6,#,1,9,#,9,#,11,2,11,3,#,5,#,4,#,8,#,1,4,#,2,3,#,3,#,2,#
18046,20180424,1,2,2,8,#,1,1,#,1,#,1,1,8,1,#,4,#,2,#,1,#,3,2,#,5,3,#,8,#,1,#
18047,20180426,4,8,2,2,#,6,4,#,8,#,8,3,8,2,#,4,#,11,#,9,#,7,1,#,4,6,#,8,#,1,#
18048,20180429,10,7,11,17,#,8,3,#,6,#,10,5,7,4,#,1,#,9,#,9,#,2,11,#,3,7,#,13,#,14,#
18049,20180501,12,6,6,5,#,1,1,#,9,#,4,5,4,4,#,7,#,2,#,12,#,1,9,#,6,6,#,1,#,6,#
18050,20180503,10,9,3,2,#,6,3,#,2,#,3,2,1,6,#,2,#,2,#,10,#,7,2,#,6,5,#,7,#,2,#
18051,20180506,1,7,2,4,#,9,2,#,9,#,15,5,5,7,#,5,#,3,#,4,#,3,6,#,3,2,#,1,#,11,#
18052,20180508,1,9,3,5,#,1,12,#,2,#,1,5,2,10,#,4,#,5,#,9,#,1,7,#,7,6,#,7,#,2,#
18053,20180510,1,1,5,1,#,3,3,#,3,#,4,1,1,4,#,3,#,2,#,8,#,3,2,#,1,1,#,1,#,4,#
18054,20180513,7,1,1,2,#,3,1,#,1,#,5,2,1,7,#,4,#,5,#,1,#,4,4,#,2,1,#,4,#,2,#
18055,20180515,3,11,10,5,#,4,2,#,9,#,11,10,2,8,#,6,#,4,#,13,#,1,1,#,3,3,#,7,#,12,#
18056,20180517,5,7,6,10,#,7,9,#,6,#,9,4,2,8,#,7,#,8,#,8,#,4,9,#,6,4,#,8,#,13,#
18057,20180520,3,4,1,1,#,2,1,#,1,#,2,4,1,4,#,3,#,7,#,2,#,2,1,#,1,7,#,8,#,1,#
18058,20180522,8,7,7,8,#,8,3,#,10,#,9,5,8,11,#,4,#,2,#,4,#,4,3,#,5,5,#,2,#,1,#
18059,20180524,1,2,6,7,#,8,2,#,2,#,3,2,1,1,#,1,#,1,#,11,#,1,1,#,7,2,#,2,#,2,#
18060,20180527,1,2,7,4,#,2,3,#,1,#,3,1,1,10,#,7,#,2,#,4,#,1,1,#,4,13,#,1,#,1,#
18061,20180529,3,4,4,3,#,2,4,#,2,#,1,5,5,4,#,1,#,3,#,5,#,3,8,#,1,2,#,1,#,2,#
18062,20180531,10,3,6,4,#,1,2,#,2,#,6,4,1,8,#,7,#,2,#,10,#,2,9,#,5,2,#,5,#,2,#
18063,20180603,2,10,3,2,#,12,4,#,6,#,4,13,9,6,#,5,#,2,#,3,#,5,10,#,5,5,#,11,#,8,#
18064,20180605,6,10,13,5,#,9,4,#,3,#,5,3,9,7,#,6,#,2,#,12,#,6,6,#,11,4,#,12,#,10,#
18065,20180607,1,6,3,7,#,12,2,#,1,#,4,10,1,2,#,1,#,3,#,5,#,7,1,#,4,12,#,4,#,9,#
18066,20180610,5,7,9,5,#,12,5,#,4,#,2,2,2,12,#,2,#,12,#,9,#,3,3,#,3,1,#,6,#,8,#
18067,20180612,4,1,1,7,#,5,2,#,18,#,7,4,1,12,#,3,#,5,#,1,#,3,4,#,1,1,#,1,#,3,#
18068,20180614,10,8,2,1,#,3,5,#,5,#,9,4,5,2,#,3,#,1,#,1,#,7,1,#,2,1,#,1,#,1,#
18069,20180617,2,11,2,5,#,4,2,#,4,#,1,3,5,3,#,6,#,1,#,6,#,2,7,#,4,2,#,7,#,5,#
18070,20180619,6,1,1,2,#,2,5,#,2,#,2,2,6,1,#,2,#,4,#,1,#,1,2,#,7,2,#,1,#,5,#
18071,20180621,4,7,3,9,#,2,1,#,5,#,1,2,2,1,#,1,#,4,#,3,#,3,1,#,6,3,#,4,#,3,#
18072,20180624,1,6,3,1,#,7,9,#,7,#,10,4,1,9,#,2,#,3,#,7,#,3,5,#,1,5,#,9,#,9,#
18073,20180626,2,1,5,2,#,2,4,#,3,#,4,4,7,9,#,6,#,3,#,3,#,7,1,#,1,7,#,3,#,10,#
18074,20180628,13,1,3,1,#,1,1,#,4,#,3,1,1,4,#,13,#,6,#,8,#,1,4,#,1,4,#,1,#,12,#
18075,20180701,1,1,5,5,#,1,10,#,4,#,9,5,1,2,#,3,#,2,#,1,#,2,2,#,2,1,#,3,#,1,#
18076,20180703,1,4,3,1,#,2,10,#,3,#,5,3,9,12,#,2,#,5,#,3,#,7,3,#,2,8,#,7,#,1,#
18077,20180705,1,7,1,3,#,1,1,#,2,#,8,1,8,1,#,1,#,3,#,4,#,1,1,#,4,1,#,4,#,2,#
18078,20180708,4,2,1,11,#,3,4,#,10,#,14,10,5,3,#,1,#,2,#,8,#,4,7,#,3,4,#,6,#,4,#
18079,20180710,1,4,15,2,#,4,6,#,4,#,5,5,8,3,#,10,#,1,#,3,#,2,6,#,6,7,#,2,#,13,#
18080,20180712,2,1,3,6,#,2,6,#,6,#,1,2,6,2,#,4,#,3,#,1,#,3,2,#,1,1,#,1,#,2,#
18081,20180715,11,8,10,6,#,12,9,#,1,#,7,1,6,1,#,17,#,4,#,13,#,6,4,#,5,20,#,14,#,3,#
18082,20180717,1,6,3,1,#,1,1,#,1,#,1,1,1,2,#,1,#,1,#,2,#,1,2,#,8,1,#,1,#,2,#
18083,20180719,3,5,6,8,#,11,2,#,9,#,6,2,1,4,#,9,#,4,#,8,#,2,4,#,1,7,#,2,#,14,#
18084,20180722,5,1,1,1,#,6,2,#,4,#,1,2,3,6,#,3,#,1,#,5,#,2,1,#,3,6,#,1,#,1,#
18085,20180724,7,1,1,2,#,4,2,#,10,#,2,17,1,6,#,10,#,1,#,6,#,5,7,#,1,21,#,11,#,3,#
18086,20180726,15,5,11,4,#,8,5,#,5,#,11,5,9,9,#,11,#,9,#,11,#,5,9,#,11,17,#,13,#,9,#
18087,20180729,9,5,1,2,#,8,4,#,4,#,7,3,2,9,#,4,#,5,#,4,#,5,2,#,2,1,#,5,#,11,#
18088,20180731,5,3,3,1,#,9,5,#,5,#,9,1,2,8,#,1,#,1,#,6,#,6,5,#,3,3,#,5,#,2,#
18089,20180802,2,1,4,1,#,2,2,#,11,#,5,4,1,3,#,1,#,9,#,1,#,1,3,#,3,3,#,4,#,1,#
18090,20180805,6,1,2,5,#,5,1,#,3,#,9,1,2,1,#,2,#,1,#,2,#,2,2,#,1,1,#,4,#,9,#
18091,20180807,5,1,1,4,#,14,9,#,5,#,4,8,7,5,#,12,#,8,#,16,#,3,1,#,8,5,#,10,#,3,#
18092,20180809,6,1,1,4,#,3,1,#,4,#,2,3,8,10,#,3,#,7,#,2,#,1,7,#,1,3,#,2,#,10,#
18093,20180812,3,2,5,1,#,7,7,#,1,#,1,1,1,6,#,3,#,1,#,5,#,1,1,#,2,3,#,2,#,7,#
18094,20180814,1,1,2,1,#,5,1,#,2,#,1,1,1,1,#,2,#,1,#,1,#,4,2,#,1,1,#,5,#,1,#
18095,20180816,3,7,5,5,#,7,7,#,3,#,8,5,4,8,#,9,#,8,#,4,#,2,2,#,8,13,#,13,#,4,#
18096,20180819,3,2,10,4,#,2,5,#,2,#,2,6,8,11,#,1,#,1,#,5,#,6,10,#,5,2,#,1,#,11,#
18097,20180821,15,9,16,2,#,3,9,#,3,#,4,13,5,1,#,1,#,7,#,11,#,6,9,#,2,12,#,13,#,7,#
18098,20180823,6,2,4,2,#,3,4,#,1,#,1,7,3,5,#,2,#,3,#,2,#,6,2,#,11,6,#,3,#,1,#
18099,20180826,2,1,6,3,#,2,3,#,2,#,2,6,4,3,#,5,#,1,#,1,#,1,3,#,4,5,#,5,#,5,#
18100,20180828,2,1,3,4,#,1,2,#,3,#,7,11,6,7,#,2,#,6,#,5,#,5,2,#,8,2,#,2,#,1,#
18101,20180830,5,2,2,3,#,13,1,#,3,#,8,14,2,13,#,16,#,8,#,6,#,3,10,#,3,16,#,5,#,2,#
18102,20180902,7,4,6,4,#,2,16,#,9,#,1,1,2,13,#,1,#,1,#,1,#,3,8,#,3,5,#,2,#,7,#
18103,20180904,1,1,4,4,#,8,3,#,5,#,6,13,4,2,#,4,#,5,#,6,#,4,6,#,5,1,#,5,#,2,#
18104,20180906,7,6,7,4,#,6,8,#,2,#,3,9,4,10,#,3,#,7,#,1,#,1,2,#,4,3,#,2,#,10,#
18105,20180909,5,2,1,1,#,1,7,#,1,#,2,2,1,4,#,4,#,3,#,9,#,1,3,#,3,1,#,3,#,1,#
18106,20180911,1,2,1,2,#,2,1,#,1,#,9,1,5,1,#,3,#,4,#,1,#,4,4,#,2,1,#,1,#,2,#
18107,20180913,8,1,7,10,#,1,4,#,5,#,6,5,4,2,#,2,#,6,#,3,#,6,1,#,10,2,#,1,#,5,#
18108,20180916,12,5,1,1,#,2,5,#,4,#,4,4,6,7,#,2,#,6,#,2,#,1,6,#,3,8,#,2,#,2,#
18109,20180918,10,6,4,8,#,9,13,#,5,#,11,1,3,6,#,1,#,14,#,3,#,4,12,#,3,7,#,1,#,7,#
18110,20180920,9,11,6,1,#,8,11,#,4,#,1,7,13,4,#,13,#,13,#,13,#,12,6,#,3,8,#,1,#,2,#
18111,20180923,1,5,1,8,#,1,10,#,1,#,4,8,7,2,#,9,#,3,#,2,#,6,6,#,3,5,#,3,#,1,#
18112,20180925,7,3,2,5,#,11,3,#,5,#,14,17,3,7,#,2,#,6,#,13,#,1,2,#,11,10,#,3,#,6,#
18113,20180927,3,5,1,2,#,10,1,#,4,#,2,4,2,4,#,3,#,4,#,8,#,7,5,#,5,1,#,3,#,2,#
18114,20180930,6,4,2,9,#,7,8,#,3,#,13,4,2,1,#,9,#,3,#,4,#,8,3,#,3,13,#,3,#,1,#
18115,20181002,7,1,11,2,#,3,8,#,2,#,2,3,6,3,#,11,#,1,#,1,#,7,8,#,7,10,#,13,#,1,#
18116,20181004,1,7,4,2,#,7,6,#,4,#,5,2,3,3,#,2,#,8,#,3,#,3,8,#,5,7,#,8,#,4,#
18117,20181007,5,1,4,2,#,1,7,#,3,#,3,2,1,3,#,4,#,2,#,10,#,5,4,#,5,3,#,5,#,12,#
18118,20181009,9,11,3,15,#,2,2,#,2,#,10,4,1,13,#,6,#,2,#,4,#,9,8,#,1,5,#,3,#,6,#
18119,20181011,1,4,5,2,#,1,2,#,3,#,2,13,9,12,#,10,#,8,#,2,#,12,2,#,1,4,#,2,#,1,#
18120,20181014,2,5,4,2,#,5,1,#,2,#,1,4,6,3,#,7,#,6,#,1,#,4,3,#,1,1,#,1,#,1,#
18121,20181016,3,3,15,4,#,1,8,#,5,#,7,8,9,2,#,3,#,6,#,1,#,2,3,#,4,2,#,3,#,2,#
18122,20181018,5,1,1,1,#,1,7,#,5,#,6,2,6,3,#,4,#,1,#,16,#,1,4,#,2,3,#,5,#,4,#
18123,20181021,14,6,2,6,#,9,6,#,1,#,4,18,2,13,#,4,#,3,#,4,#,7,1,#,6,4,#,4,#,7,#
18124,20181023,10,1,1,4,#,4,1,#,1,#,5,7,7,1,#,1,#,8,#,16,#,1,1,#,1,15,#,2,#,1,#
18125,20181025,5,13,1,1,#,3,3,#,1,#,3,1,1,1,#,1,#,2,#,1,#,5,1,#,5,1,#,3,#,1,#
18126,20181028,1,4,6,2,#,4,9,#,5,#,8,5,5,6,#,5,#,2,#,4,#,1,1,#,1,4,#,3,#,5,#
18127,20181030,1,9,3,6,#,3,7,#,4,#,1,12,2,2,#,5,#,2,#,3,#,2,5,#,7,2,#,10,#,5,#
18128,20181101,5,2,14,8,#,2,6,#,7,#,6,8,8,6,#,11,#,10,#,10,#,2,10,#,8,3,#,6,#,4,#
18129,20181104,1,8,8,2,#,2,2,#,3,#,1,2,4,2,#,1,#,2,#,2,#,11,1,#,7,2,#,6,#,2,#
18130,20181106,3,5,3,6,#,5,3,#,7,#,3,2,2,4,#,3,#,10,#,1,#,12,1,#,1,1,#,5,#,1,#
18131,20181108,2,5,7,5,#,1,13,#,4,#,6,1,4,3,#,3,#,3,#,4,#,4,1,#,6,4,#,4,#,2,#
18132,20181111,1,2,2,1,#,6,9,#,4,#,2,7,6,1,#,1,#,5,#,2,#,1,1,#,4,1,#,1,#,2,#
18133,20181113,2,3,2,1,#,11,2,#,1,#,4,1,1,1,#,1,#,3,#,4,#,5,1,#,1,3,#,5,#,15,#
18134,20181115,1,9,3,9,#,10,8,#,2,#,4,6,1,3,#,3,#,7,#,13,#,6,6,#,1,8,#,8,#,6,#
18135,20181118,13,4,6,6,#,2,1,#,1,#,3,1,7,5,#,4,#,1,#,3,#,3,6,#,2,11,#,18,#,6,#
18136,20181120,7,6,5,7,#,1,15,#,4,#,16,6,6,14,#,4,#,7,#,2,#,1,15,#,5,10,#,4,#,8,#
18137,20181122,12,7,1,4,#,1,2,#,3,#,1,2,1,1,#,1,#,2,#,5,#,1,6,#,12,11,#,3,#,5,#
18138,20181125,16,5,11,5,#,1,15,#,1,#,8,3,16,4,#,19,#,10,#,18,#,5,17,#,11,9,#,17,#,4,#
18139,20181127,3,2,5,13,#,8,14,#,7,#,5,8,9,9,#,8,#,2,#,14,#,15,12,#,4,14,#,14,#,1,#
18140,20181129,2,9,3,4,#,7,8,#,4,#,6,2,6,2,#,4,#,3,#,1,#,10,3,#,3,5,#,1,#,5,#
18141,20181202,8,4,1,2,#,7,3,#,3,#,3,14,2,1,#,7,#,3,#,3,#,5,9,#,7,1,#,9,#,11,#
18142,20181204,1,1,14,3,#,4,8,#,3,#,4,3,4,1,#,7,#,3,#,2,#,2,3,#,9,12,#,6,#,2,#
18143,20181206,1,10,9,5,#,9,5,#,7,#,20,1,4,2,#,1,#,11,#,2,#,3,1,#,2,1,#,5,#,14,#
18144,20181209,7,8,1,2,#,15,3,#,11,#,8,15,11,11,#,2,#,3,#,6,#,3,11,#,8,7,#,6,#,6,#
18145,20181211,2,8,8,7,#,2,2,#,10,#,2,5,11,12,#,14,#,4,#,3,#,3,2,#,4,8,#,2,#,1,#
18146,20181213,3,2,3,3,#,3,4,#,4,#,7,8,1,1,#,5,#,4,#,3,#,1,5,#,5,4,#,2,#,9,#
18147,20181216,1,7,3,5,#,16,7,#,1,#,5,4,2,10,#,10,#,8,#,7,#,6,6,#,13,10,#,1,#,6,#
