Date,red1,red2,red3,red4,red5,red6,sum_all,sum16,sum25,sum34,gap56,ball,row1,less10,less5,less8,gap25,gap16,gap34,gap45,gap23,gap12,less9,row2,row3,row4,ball_column,blue,blue_sort
20240123,3,3,2,2,2,1,2,2,2,2,3,1,3,2,2,2,2,3,2,2,2,2,2,3,3,2,2,2,2
20240125,1,2,2,2,2,2,1,3,1,1,2,2,1,2,2,2,2,1,2,3,1,2,2,1,2,1,1,2,2
20240128,2,3,3,2,2,2,3,3,3,3,2,1,2,1,1,2,2,2,3,2,1,2,1,3,2,3,2,3,2
20240130,1,2,1,2,2,2,3,3,1,3,2,3,2,3,3,1,1,1,2,3,2,2,3,3,3,2,3,1,2
20240201,1,3,1,2,2,1,1,1,3,1,3,3,1,3,2,1,3,1,3,2,2,3,3,1,1,1,3,3,2
20240204,2,2,2,3,3,2,1,1,1,1,3,1,1,2,2,2,2,3,2,1,2,2,3,2,2,2,2,3,3
20240206,2,2,2,2,3,2,2,2,2,2,3,2,2,2,2,2,3,1,2,3,1,1,1,3,3,2,1,2,2
20240218,2,3,1,2,2,1,2,2,2,2,2,1,3,2,3,3,3,2,3,2,2,3,3,2,3,1,3,1,3
20240220,2,1,2,2,2,2,2,2,3,2,3,3,1,3,3,2,3,2,3,1,1,1,3,2,2,3,2,3,3
20240222,1,1,2,2,2,3,3,3,3,3,1,1,1,2,1,1,2,3,2,2,2,2,2,3,2,2,3,2,3
20240225,2,2,1,3,1,2,2,2,2,2,3,2,2,2,1,2,1,3,2,2,2,1,2,2,2,2,2,1,1
20240227,2,2,2,2,2,2,1,3,2,1,2,3,2,3,2,2,2,3,3,3,2,2,3,3,2,2,2,2,2
20240229,2,2,2,2,3,1,3,1,3,3,3,1,1,2,2,3,3,2,1,1,3,3,2,2,2,3,2,3,3
20240303,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,2,3,1,1,2,2,2,3,3,2,3,2,2
20240305,2,2,1,1,2,2,3,1,3,2,1,2,2,3,2,2,2,1,1,2,3,2,2,1,2,3,2,1,2
20240307,3,3,1,2,2,3,2,2,2,1,3,2,2,3,3,2,3,2,3,2,2,3,3,3,3,2,2,3,3
20240310,2,2,2,2,2,2,2,3,3,2,1,3,2,2,2,3,1,3,1,3,3,2,2,2,2,1,2,2,2
20240312,2,2,2,3,2,2,2,2,2,2,2,1,2,1,2,3,3,3,3,1,1,1,2,3,2,1,1,2,3
20240314,2,2,2,2,3,3,3,3,3,3,2,3,2,3,3,3,3,3,3,2,2,1,3,2,3,3,3,2,2
