red1
29:(54.1, 21.8), (19.5, 4.9), (81.2, 31.5)
30:(46.7, 29.2), (16.7, 7.7), (69.0, 43.7)
31:(39.6, 36.3), (15.6, 8.8), (62.1, 50.6)
32:(29.7, 46.2), (12.0, 12.4), (46.0, 66.7)
33:(18.4, 57.5), (9.5, 14.9), (36.9, 75.8)
34:(18.4, 57.5), (9.5, 14.9), (36.9, 75.8)
35:(15.3, 60.6), (8.0, 16.4), (30.9, 81.8)
36:(8.7, 67.2), (4.5, 19.9), (18.8, 93.9)
37:(8.7, 67.2), (4.5, 19.9), (18.8, 93.9)
38:(7.7, 68.2), (2.8, 21.6), (13.8, 98.9)
39:(4.3, 71.6), (1.0, 23.4), (6.2, 106.5)
40:(2.2, 73.7), (0.5, 23.9), (3.1, 109.6)
41:(2.2, 73.7), (0.5, 23.9), (3.1, 109.6)
42:(2.2, 73.7), (0.5, 23.9), (3.1, 109.6)
43:(0, 75.9), (0, 24.4), (0, 112.7)

red_gap12
-1:(0, 141.2), (0, 88.1), (0, 85.9)
0:(3.5, 137.7), (1.2, 86.9), (0.9, 85.0)
1:(11.6, 129.6), (5.7, 82.4), (4.4, 81.5)
2:(141.2, 0), (88.1, 0), (85.9, 0)
3:(115.4, 25.8), (71.8, 16.3), (67.0, 18.9)
4:(99.2, 42.0), (61.9, 26.2), (49.5, 36.4)
5:(49.2, 92.0), (29.4, 58.7), (22.1, 63.8)
6:(31.6, 109.6), (20.3, 67.8), (10.7, 75.2)
7:(22.9, 118.3), (16.2, 71.9), (9.7, 76.2)
8:(7.0, 134.2), (5.3, 82.8), (3.4, 82.5)
9:(0, 141.2), (0, 88.1), (0, 85.9)

red_gap23
0:(0, 100.4), (0, 37.1), (0, 106.6)
1:(100.4, 0), (37.1, 0), (106.6, 0)
2:(100.2, 0.2), (35.2, 1.9), (102.3, 4.3)
3:(97.0, 3.4), (33.4, 3.7), (95.2, 11.4)
4:(80.5, 19.9), (30.0, 7.1), (82.1, 24.5)
5:(59.8, 40.6), (21.9, 15.2), (51.3, 55.3)
6:(28.6, 71.8), (7.9, 29.2), (23.4, 83.2)
7:(16.5, 83.9), (5.2, 31.9), (9.4, 97.2)
8:(8.1, 92.3), (1.2, 35.9), (6.2, 100.4)
9:(3.2, 97.2), (0.7, 36.4), (1.6, 105.0)
10:(3.2, 97.2), (0.7, 36.4), (1.6, 105.0)
11:(3.2, 97.2), (0.7, 36.4), (1.6, 105.0)
12:(0, 100.4), (0, 37.1), (0, 106.6)

red_gap34
0:(0, 42.6), (0, 47.1), (0, 136.3)
1:(1.5, 41.1), (2.6, 44.5), (6.9, 129.4)
2:(1.7, 40.9), (4.7, 42.4), (11.3, 125.0)
3:(13.6, 29.0), (19.6, 27.5), (52.2, 84.1)
4:(18.6, 24.0), (28.8, 18.3), (76.0, 60.3)
5:(31.0, 11.6), (39.3, 7.8), (109.0, 27.3)
6:(36.4, 6.2), (43.5, 3.6), (123.0, 13.3)
7:(41.1, 1.5), (46.4, 0.7), (133.4, 2.9)
8:(41.1, 1.5), (46.4, 0.7), (133.4, 2.9)
9:(42.6, 0), (47.1, 0), (136.3, 0)
10:(1.5, 41.1), (0.7, 46.4), (2.9, 133.4)
11:(1.5, 41.1), (0.7, 46.4), (2.9, 133.4)
12:(0, 42.6), (0, 47.1), (0, 136.3)

red_gap45
-2:(0, 154.4), (0, 73.1), (0, 74.3)
-1:(2.0, 152.4), (0.2, 72.9), (2.4, 71.9)
0:(12.5, 141.9), (6.3, 66.8), (8.2, 66.1)
1:(12.5, 141.9), (6.3, 66.8), (8.2, 66.1)
2:(35.3, 119.1), (19.6, 53.5), (21.5, 52.8)
3:(85.2, 69.2), (44.5, 28.6), (43.1, 31.2)
4:(124.7, 29.7), (64.3, 8.8), (55.6, 18.7)
5:(141.5, 12.9), (69.3, 3.8), (67.9, 6.4)
6:(146.7, 7.7), (72.1, 1.0), (68.3, 6.0)
7:(152.2, 2.2), (73.0, 0.1), (71.8, 2.5)
8:(152.2, 2.2), (73.0, 0.1), (71.8, 2.5)
9:(152.2, 2.2), (73.0, 0.1), (71.8, 2.5)
10:(154.4, 0), (73.1, 0), (74.3, 0)
11:(154.4, 0), (73.1, 0), (74.3, 0)
12:(154.4, 0), (73.1, 0), (74.3, 0)
13:(0, 154.4), (0, 73.1), (0, 74.3)

red_gap56
0:(0, 31.7), (0, 61.3), (0, 128.0)
1:(0.2, 31.5), (1.3, 60.0), (2.9, 125.1)
2:(5.2, 26.5), (3.9, 57.4), (9.8, 118.2)
3:(7.2, 24.5), (13.9, 47.4), (29.8, 98.2)
4:(14.2, 17.5), (22.6, 38.7), (50.4, 77.6)
5:(21.5, 10.2), (33.7, 27.6), (73.2, 54.8)
6:(31.7, 0), (61.3, 0), (128.0, 0)
7:(8.3, 23.4), (20.0, 41.3), (39.6, 88.4)
8:(6.7, 25.0), (10.4, 50.9), (19.4, 108.6)
9:(1.1, 30.6), (5.7, 55.6), (11.3, 116.7)
10:(0, 31.7), (0, 61.3), (0, 128.0)

red_blue
3:(0, 26.0), (0, 73.1), (0, 162.6)
4:(0.7, 25.3), (1.2, 71.9), (3.1, 159.5)
5:(3.2, 22.8), (12.1, 61.0), (27.1, 135.5)
6:(6.1, 19.9), (19.4, 53.7), (43.1, 119.5)
7:(11.3, 14.7), (37.4, 35.7), (80.5, 82.1)
8:(14.6, 11.4), (52.7, 20.4), (112.2, 50.4)
9:(20.3, 5.7), (61.2, 11.9), (135.0, 27.6)
10:(20.5, 5.5), (62.8, 10.3), (138.4, 24.2)
11:(23.6, 2.4), (65.2, 7.9), (146.1, 16.5)
12:(24.6, 1.4), (69.2, 3.9), (153.8, 8.8)
13:(24.8, 1.2), (71.4, 1.7), (158.0, 4.6)
14:(26.0, 0), (73.1, 0), (162.6, 0)
15:(0, 26.0), (0, 73.1), (0, 162.6)

